id;text
1;Bohužel tato ingredience došla v naší kuchyni, protože ji kuchař použil jako návnadu na krysy.
2;Nenažraný kuchař při vaření tuhle věc prostě sežral, prý mu klesl cukr.
3;Tato ingredience právě ožila a utekla z pánve směrem k nouzovému východu.
4;Hygienická stanice nám tuhle položku zabavila, prý 'porušuje zákony fyziky i vkusu'.
5;Došlo k chybě v matrixu a tato surovina se teleportovala do vedlejší pizzerie.
6;Tato ingredience byla včera prohlášena za posvátnou, takže ji dnes nesmíme krájet.
7;Kuchař ji omylem použil místo mýdla, takže teď sice krásně voní, ale v jídle by pěnila.
8;Vypadla nám elektřina a tato surovina se ve tmě někam schovala. Bojíme se ji hledat.
9;Vyměnili jsme ji za levnější náhradu, abychom měli na splátku kuchařova dluhu z pokeru.
10;Surovina se urazila, že ji chcete kombinovat s tímhle, a dobrovolně se odpařila.
11;Byla použita jako náplast na kuchařovo říznutí, ale nebojte, aroma v hrnci zůstalo.
12;Sežral ji náš restaurační mýval, který má očividně vytříbenější vkus než vy.
13;Při pokusu o molekulární kuchyni nám tato přísada sublimovala do paralelního vesmíru.
14;Museli jsme ji prodat na černém trhu, abychom zaplatili účet za plyn.
15;Kuchař ji zapomněl v kapse od zástěry a teď už je z ní spíš biologická zbraň než jídlo.
16;Na tuhle ingredienci si udělal nárok kuchyňský duch Karel. S Karlem se nehádáme.
17;Byla obětována bohům gastronomie při ranním rituálu zapalování sporáku.
18;Zjistili jsme, že má vlastní Instagram s více followery než naše restaurace. Odmítla spolupracovat.
19;Kuchař ji dal do loterie a prohrál. Teď ji má nějaký důchodce z Ostravy.
20;Naše AI lednice ji vyhodnotila jako 'nebezpečnou pro lidstvo' a automaticky zlikvidovala.
21;Utopila se v polévce a my jsme ji nestihli vytáhnout. R.I.P.
22;Kuchař s ní chtěl udělat selfie a omylem ji upustil do kanálu.
23;Byla zabavena jako důkazní materiál v procesu 'kuchař versus zdravý rozum'.
24;Čeká na letišti na zpoždění let z Thajska. Přiletí možná příští týden.
25;Při kontrole kvality se zjistilo, že je ve skutečnosti jen halucinace. Nikdy neexistovala.
26;Kuchař ji vyhodil oknem, protože mu neposlala srdíčko na jeho story.
27;Použili jsme ji jako platidlo v sázce s kuchařem z vedlejší restaurace. Prohráli jsme.
28;Někdo na ni napsal špatnou recenzi a ona se od hanby rozplynula.
29;Byla zvolena prezidentem všech surovin a teď má diplomatickou imunitu.
30;Prokázalo se, že je ve skutečnosti mimozemšťan a NASA si ji odvezla na výzkum.
31;Kuchař ji omylem zabalil dárkově a dal své tchyni k narozeninám. Nevrátí se.
32;Má teď vlastní reality show a nemá čas na vaření. Prý volá její agent.
33;Zjistili jsme, že je pod ochranou UNESCO jako nehmotné dědictví. Nesmíme ji ani škrábnout.
34;Vytvořila si vlastní odbory a teď stávkuje za lepší pracovní podmínky v kuchyni.
35;Kuchař ji proměnil v NFT a teď ji někdo vlastní na blockchainu. Fyzicky už neexistuje.
